FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
83,713,Upseerinkatu, Officersgatan,Upseerinkatu,Upseerinkatu 3,Officersgatan 3,Espoo,Esbo,CityBike Finland,30,24.819396,60.216067
84,715,Komentajankatu, Kommendörsgatan,Komentajankatu,Perkkaantie 5,Bergansvägen 5,Espoo,Esbo,CityBike Finland,12,24.821932,60.216222
85,719,Säteri, Säteri,Säteri,Säterinkatu 6,Säterigatan 6,Espoo,Esbo,CityBike Finland,32,24.811572,60.213443
86,721,Säterinrinne, Säteribrinken,Säterinrinne,Ruusutorpantie 1,Rosatorpsvägen 1,Espoo,Esbo,CityBike Finland,16,24.805613,60.214193
87,723,Säterinniitty, Säteriängen,Säterinniitty,Säterinpuistontie 16,Säteriparksvägen 16,Espoo,Esbo,CityBike Finland,10,24.800486,60.214666
88,725,Rummunlyöjänkatu, Trumslagargatan,Rummunlyöjänkatu,Leppävaarankatu 13,Albergagatan 13,Espoo,Esbo,CityBike Finland,20,24.806279,60.217261
89,727,Ratsutori, Ryttartorget,Ratsutori,Leppävaarankatu 1,Albergagatan 1,Espoo,Esbo,CityBike Finland,33,24.812419,60.217311
90,729,Leppävaaranaukio, Albergaplanen,Leppävaaranaukio,Hevosenkenkä 3,Hästskon 3,Espoo,Esbo,CityBike Finland,30,24.813885,60.218869
91,731,Leppävaarankäytävä, Albergapassagen,Leppävaarankäytävä,Läkkisepänkuja 3,Bleckslagargränden 3,Espoo,Esbo,CityBike Finland,21,24.813437,60.220254
92,733,Läkkitori, Blecktorget,Läkkitori,Läkkisepänkuja 3,Bleckslagargränden 3,Espoo,Esbo,CityBike Finland,25,24.813109,60.221019
93,735,Armas Launiksen katu,Armas Launis gata,Armas Launiksen katu,Armas Launiksen katu 8,Armas Launis gata 8,Espoo,Esbo,CityBike Finland,20,24.818128,60.221781
94,737,Muurarinkuja, Murargränden,Muurarinkuja,Muurarinkuja 4,Murargränden 4,Espoo,Esbo,CityBike Finland,19,24.812271,60.223769
95,739,Postipuun koulu,Postipuun koulu,Postipuun koulu,Mäkkylän puistotie 14,Mäkkyläallén 14,Espoo,Esbo,CityBike Finland,16,24.826396,60.223827
96,741,Gransinmäki, Gransbacken,Gransinmäki,Vanha maantie 6,Gamla landsvägen 6,Espoo,Esbo,CityBike Finland,20,24.804898,60.222154
97,745,Leppävaaran urheilupuisto, Alberga idrottspark,Leppävaaran urheilupuisto,Veräjäpellonkatu 17,Grindåkersgatan 17,Espoo,Esbo,CityBike Finland,32,24.800971,60.224943
98,747,Leppävaaran uimahalli, Alberga simhall,Leppävaaran uimahalli,Veräjäpellonkatu 12,Grindåkersgatan 12,Espoo,Esbo,CityBike Finland,18,24.804735,60.226379
99,749,Vallikatu, Vallgatan,Vallikatu,Vallikatu 19,Vallgatan 19,Espoo,Esbo,CityBike Finland,24,24.813871,60.228463
100,751,Vallipolku, Vallgången,Vallipolku,Vallikatu 12,Vallgatan 12,Espoo,Esbo,CityBike Finland,20,24.819614,60.227827
101,753,Linnuntie, Fågelvägen,Linnuntie,Linnuntie 2,Fågelsvägen 2,Espoo,Esbo,CityBike Finland,24,24.813954,60.234401
102,755,Kutsuntatie, Uppbådsvägen,Kutsuntatie,Lintulaaksontie 2,Fågeldalsvägen 2,Espoo,Esbo,CityBike Finland,16,24.824561,60.230453
103,757,Painiitty, Pajängen,Painiitty,Lotankatu 1,Lottagatan 1,Espoo,Esbo,CityBike Finland,12,24.831397,60.235089
104,761,Mäkkylän asema, Mäkkylä station,Mäkkylän asema,Perkkaantie 20,Bergansvägen 20,Espoo,Esbo,CityBike Finland,32,24.83939,60.220467
105,763,Kalkkipellonmäki, Kalkåkersbacken,Kalkkipellonmäki,Turuntie 22,Åbovägen 22,Espoo,Esbo,CityBike Finland,24,24.833536,60.220551
106,767,Ruutikatu, Krutgatan,Ruutikatu,Ruutikatu 10,Krugranden 10,Espoo,Esbo,CityBike Finland,10,24.820635,60.223377
107,769,Tiurintie, Tiurisvägen,Tiurintie,Kurkijoentie 1,Kronoborgsvägen 1,Espoo,Esbo,CityBike Finland,12,24.814562,60.204951
108,900,Orionintie,Orionvägen,Orionintie,Orionintie 3-5,Orionvägen 3-5,Espoo,Esbo,CityBike Finland,20,24.771826,60.180118
109,901,O'Bike Station,O'Bike Station,O'Bike Station,Rauhalanpuisto 11,Rauhalaparken 11,Espoo,Esbo,CityBike Finland,20,24.742219,60.163412
110,902,Derby Business Park,Derby Business Park,Derby Business Park,Tarvonsalmenkatu 17,Tarvosundsgatan 17,Espoo,Esbo,CityBike Finland,20,24.835356,60.209017
111,001,Kaivopuisto,Brunnsparken,Kaivopuisto,Meritori 1,Havstorget 1,Helsinki,Helsingfors,CityBike Finland,30,24.9502114714026,60.1553696238444
112,002,Laivasillankatu,Skeppsbrogatan,Laivasillankatu,Laivasillankatu 14,Skeppsbrogatan 14,Helsinki,Helsingfors,CityBike Finland,12,24.9565097715857,60.1609890780501
113,003,Kapteeninpuistikko,Kaptensskvären,Kapteeninpuistikko,Tehtaankatu 13,Fabriksgatan 13,Helsinki,Helsingfors,CityBike Finland,16,24.9450181631666,60.158176911765
114,004,Viiskulma,Femkanten,Viiskulma,Fredrikinkatu 19,Fredriksgatan  19,Helsinki,Helsingfors,CityBike Finland,14,24.9417758006416,60.1609859009459
115,005,Sepänkatu,Smedsgatan,Sepänkatu,Tehtaankatu 25,Fabriksgatan 25,Helsinki,Helsingfors,CityBike Finland,32,24.9362853002098,60.1579483005891
116,006,Hietalahdentori,Sandvikens torg,Hietalahdentori,Hietalahdenkatu 2,Sandviksgatan 2,Helsinki,Helsingfors,CityBike Finland,24,24.9296476311882,60.1622283985805
117,007,Designmuseo,Designmuseet,Design Museum,Korkeavuorenkatu 23,Högbergsgatan 23,Helsinki,Helsingfors,CityBike Finland,14,24.9459599998803,60.1631032004291
118,008,Vanha kirkkopuisto,Gamla kyrkoparken,Vanha kirkkopuisto,Annankatu 16,Annegatan 16,Helsinki,Helsingfors,CityBike Finland,24,24.9391145483709,60.1653538553351
119,009,Erottajan aukio,Skillnadsplatsen,Erottajan aukio,Eteläesplanadi 22,Södra esplanaden 22,Helsinki,Helsingfors,CityBike Finland,44,24.9442610720753,60.166890083486
120,010,Kasarmitori,Kaserntorget,Kasarmitori,Fabianinkatu 13,Fabiansgatan 13,Helsinki,Helsingfors,CityBike Finland,28,24.949472879382,60.1650171815098
121,011,Unioninkatu,Unionsgatan,Unioninkatu,Eteläesplanadi 1,Södra esplanaden 1,Helsinki,Helsingfors,CityBike Finland,22,24.9510226994021,60.1674573009106
122,012,Kanavaranta,Kanalkajen,Kanavaranta,Kanavaranta 1,Kanalkajen 1,Helsinki,Helsingfors,CityBike Finland,34,24.9584922784241,60.168495912803
123,013,Merisotilaantori,Flottisttorget,Merisotilaantori,Merisotilaantori,Flottisttorget,Helsinki,Helsingfors,CityBike Finland,24,24.9755284752386,60.1679190628252
124,014,Senaatintori,Senatstorget,Senate Square,Aleksanterinkatu 22,Alexandersgatan 22,Helsinki,Helsingfors,CityBike Finland,22,24.9526414004663,60.1691278006798
125,015,Ritarikatu,Riddaregatan,Ritarikatu,Ritarikatu 7,Riddaregatan 7,Helsinki,Helsingfors,CityBike Finland,12,24.9555218601891,60.1710906884975
126,016,Liisanpuistikko,Elisabetsskvären,Liisanpuistikko,Liisankatu 1,Elisabetsgatan 1,Helsinki,Helsingfors,CityBike Finland,16,24.9613746997627,60.1741822003854
127,017,Varsapuistikko,Fölskvären,Varsapuistikko,Yrjö-Koskisen katu 1,Yrjö-Koskinens gata 1,Helsinki,Helsingfors,CityBike Finland,28,24.9495192737191,60.1731029004969
128,018,Porthania,Porthania,Porthania,Yliopistonkatu 3,Universitetsgatan 3,Helsinki,Helsingfors,CityBike Finland,40,24.9480528436015,60.1698689258194
129,019,Rautatientori / itä,Järnvägstorget/öst,Central Railway Station/East,Rautatientori 1,Järnvägstorget 1,Helsinki,Helsingfors,CityBike Finland,20,24.9425267992462,60.1708236004791
130,020,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenpuisto,Bergbominkuja 1,Bergbomsgränden 1,Helsinki,Helsingfors,CityBike Finland,22,24.9433556359402,60.173234908895
131,021,Töölönlahdenkatu,Tölöviksgatan,Töölönlahdenkatu,Töölönlahdenkatu 1,Tölöviksgatan 1,Helsinki,Helsingfors,CityBike Finland,44,24.939284,60.1729435
132,022,Rautatientori / länsi,Järnvägstorget/väst,Central Railway Station/West,Kaivokatu 1,Brunnsgatan 1,Helsinki,Helsingfors,CityBike Finland,16,24.9397601000638,60.170606100741
133,023,Kiasma,Kiasma,Kiasma,Mannerheiminaukio 1,Mannerheimplatsen 1,Helsinki,Helsingfors,CityBike Finland,30,24.9374279000748,60.1712579010317
134,024,Mannerheimintie,Mannerheimvägen,Mannerheimintie,Mannerheiminitie 18,Mannerheimvägen 18,Helsinki,Helsingfors,CityBike Finland,20,24.9394194995366,60.1690724007628
135,025,Narinkka,Narinken,Narinkka,Narinkka 1,Narinken 1,Helsinki,Helsingfors,CityBike Finland,40,24.93460698,60.1700420359
136,026,Kamppi (M),Kampen (M),Kamppi (M),Fredrikinkatu 44,Fredriksgatan 44,Helsinki,Helsingfors,CityBike Finland,32,24.9305373005368,60.1686095009089
137,027,Eerikinkatu,Eriksgatan,Eerikinkatu,Eerikinkatu 8,Eriksgatan 8,Helsinki,Helsingfors,CityBike Finland,14,24.9358445558376,60.1673619794087
138,028,Lastenlehto,Barnlunden,Lastenlehto,Lapinrinne,Lappbrinken,Helsinki,Helsingfors,CityBike Finland,16,24.9270362659603,60.1657993094196
139,029,Baana,Banan,Baana,Ruoholahdenkatu 23,Gräsviksgatan 23,Helsinki,Helsingfors,CityBike Finland,16,24.92257062079,60.164117381256
140,030,Itämerentori,Östersjötorget,Itämerentori,Itämerentori 1,Östersjötorget 1,Helsinki,Helsingfors,CityBike Finland,40,24.9145164996451,60.1635309006283
141,031,Marian sairaala,Maria sjukhus,Maria Hospital,Pohjoinen Rautatiekatu 33,Norra Järnvägsgatan 33,Helsinki,Helsingfors,CityBike Finland,16,24.9227415692013,60.1683228267673
142,032,Eläinmuseo,Naturhistoriska museet,Finnish Museum of Natural History,Pohjoinen Rautatiekatu 13,Norra Järnvägsgatan 13,Helsinki,Helsingfors,CityBike Finland,20,24.9318975121428,60.1713589074265
143,033,Kauppakorkeakoulu,Handelshögskolan,Hanken School of Economics,Arkadiankatu 20,Arkadiagatan 20,Helsinki,Helsingfors,CityBike Finland,16,24.9250132257972,60.1711668937482
144,034,Kansallismuseo,Nationalmuseum,National Museum,Mannerheimintie 30,Mannerheimvägen 30,Helsinki,Helsingfors,CityBike Finland,16,24.932898315344,60.1739569072931
145,035,Cygnaeuksenkatu,Cygnaeusgatan,Cygnaeuksenkatu,Cygnaeuksenkatu 1,Cygnaeusgatan 1,Helsinki,Helsingfors,CityBike Finland,16,24.9282685568484,60.1741008804356
146,036,Apollonkatu,Apollogatan,Apollonkatu,Runeberginkatu 43,Runebergsgatan 43,Helsinki,Helsingfors,CityBike Finland,20,24.9224632983337,60.176092787812
147,037,Töölönkatu,Tölögatan,Töölönkatu,Pohjoinen Hesperiankatu 3,Norra Hesperiagatan 3,Helsinki,Helsingfors,CityBike Finland,18,24.9283525094474,60.1775346278992
148,038,Töölöntori,Tölötorg,Töölöntori,Töölöntorinkatu 11,Tölötorggatan 11,Helsinki,Helsingfors,CityBike Finland,16,24.9249700522855,60.1791005259377
149,039,Ooppera,Nationaloperan,Opera,Mannerheimintie 62,Mannerheimvägen 62,Helsinki,Helsingfors,CityBike Finland,24,24.9266869997463,60.1825529007523
150,040,Hakaniemi (M),Hagnäs (M),Hakaniemi (M),John Stenberginranta 6,John Stenbergs strand 6,Helsinki,Helsingfors,CityBike Finland,28,24.9522579797679,60.178081643511
151,041,Ympyrätalo,Runda huset,Ympyrätalo,Porthaninrinne 1,Porthansbrinken 1,Helsinki,Helsingfors,CityBike Finland,36,24.9493999998455,60.180863000648
152,042,Haapaniemenkatu,Aspnäsgatan,Haapaniemenkatu,Haapaniemenkatu 2,Aspnäsgatan 2,Helsinki,Helsingfors,CityBike Finland,18,24.9551952848703,60.1831601181109
153,043,Karhupuisto,Björnparken,Karhupuisto,Agricolankatu 11,Agricolagatan 11,Helsinki,Helsingfors,CityBike Finland,24,24.9526762998377,60.1842833008851
154,044,Sörnäinen (M),Sörnäs (M),Sörnäinen (M),Vaasanpuistikko 1a,Vaasanpuistikko 1a,Helsinki,Helsingfors,CityBike Finland,20,24.96098,60.187736
155,045,Brahen kenttä,Braheplan,Brahen kenttä,Helsinginkatu 22,Helsingegatan 22,Helsinki,Helsingfors,CityBike Finland,20,24.9508131529513,60.1867902970956
156,046,Diakoniapuisto,Diakoniparken,Diakoniapuisto,Helsinginkatu 44,Helsingegatan 44,Helsinki,Helsingfors,CityBike Finland,18,24.942749,60.186301
157,047,Vanha Kauppahalli,Salutorget,Market Square,Pakkahuoneenlaituri,Packhuskajen,Helsinki,Helsingfors,CityBike Finland,22,24.9535685411148,60.1652833514784
158,048,Mastokatu,Mastgatan,Mastokatu,Mastokatu 2,Mastgatan 2,Helsinki,Helsingfors,CityBike Finland,22,24.9674668165295,60.1647465061469
159,049,Annankatu,Annankatu,Annankatu,Annankatu 5,Annegatan 5,Helsinki,Helsingfors,CityBike Finland,16,24.94173790071,60.1634749332853
160,050,Melkonkuja,Melkögränd,Melkonkuja,Melkonkuja 1,Melkögränd 1,Helsinki,Helsingfors,CityBike Finland,12,24.8861093999759,60.1498127004012
161,051,Itälahdenkatu,Österviksgatan,Itälahdenkatu,Itälahdenkatu 15,Österviksgatan 15,Helsinki,Helsingfors,CityBike Finland,12,24.8812501991251,60.1506600007083
162,052,Heikkilänaukio,Heikasplatsen,Heikkilänaukio,Heikkilänaukio 1,Heikasplatsen 1,Helsinki,Helsingfors,CityBike Finland,20,24.8793158993847,60.1540763005315
163,053,Heikkiläntie,Heikasvägen,Heikkiläntie,Heikkiläntie 7,Heikasvägen 7,Helsinki,Helsingfors,CityBike Finland,12,24.8850653001728,60.1568170007212
164,054,Gyldenintie,Gyldénsvägen,Gyldenintie,Gyldenintie 2,Gyldénsvägen 2,Helsinki,Helsingfors,CityBike Finland,36,24.8766657996796,60.1583842004274
